ID,FilePath,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,ClassID
2618,train/2619.wav,-559.2930298,175.23306274414062,-34.47313309,-7.333734989,33.02938461303711,-16.52121162,-20.61582565,2.0105090141296387,-9.779752731,-16.25063515,-13.81338024,-18.05136681,-13.7525425,3
2186,train/2187.wav,-283.4485168,137.74432373046875,-37.35900497,33.708194732666016,-25.06603622,-26.10379601,-33.67215729,-7.094526291,21.44632148742676,-10.29576874,2.8014419078826904,9.291911125183104,19.603302001953125,4
1440,train/1441.wav,-351.0292053,156.0996856689453,16.338441848754883,17.34855079650879,10.32359218597412,25.255443572998047,2.3019165992736816,17.70298957824707,6.938233852386475,22.807523727416992,2.0205419063568115,17.0518856,-1.935717821,0
899,train/900.wav,-294.3243103,151.57839965820312,-19.23594856,59.94602966308594,-17.63680649,44.40243911743164,-3.893755198,28.42060089111328,-8.672224998,13.926229476928713,-0.513424695,0.6034642457962036,1.5644550323486328,7
4142,train/4143.wav,-283.8770447,223.3875274658203,-50.53488541,-5.023980618,-26.43826675,-5.432035446,-3.59082222,3.558525562286377,9.380060195922852,-0.40739879,7.600661277770996,7.211367130279541,8.727871894836426,8
2993,train/2994.wav,-132.0904846,101.54306030273438,-8.066177368,45.29301071166992,-9.473130226,27.504846572875977,-24.05254173,27.955591201782227,-12.8819437,9.308917999267578,-0.87710464,-2.806444883,7.575087070465088,4
1330,train/1331.wav,-242.6729126,147.0471191,24.872425079345703,10.269837379455566,6.203631878,10.151252746582031,-5.308960438,13.815149307250977,-1.5423311,10.245616912841797,1.6799918413162231,8.117219924926758,-1.766382575,0
4184,train/4185.wav,-240.2192841,220.5446777,-36.04829407,16.24018669128418,-26.69241905,12.03951930999756,-0.009175118,13.631741523742676,13.92807674407959,-3.322059393,1.939980387687683,10.673892974853516,13.316044807434082,8
1559,train/1560.wav,-103.0466232,121.99382019042967,-7.186587334,8.874892234802246,-8.451966286,12.569721221923828,11.954896926879885,17.08471107,-5.158383369,13.482083320617676,5.768840789794922,7.00397539138794,3.798040866851807,5
740,train/741.wav,-214.1630859,219.2267608642578,-40.52737045,23.823457717895508,-19.03442574,14.106842041015623,-6.173015594,12.895519256591797,2.219327449798584,1.538342833518982,-1.79981792,2.597296714782715,-5.233887196,8
