id,label
0,9
1,9
2,9
3,7
4,7
5,8
6,3
7,3
8,3
9,3
10,9
11,9
12,2
13,2
14,9
15,3
16,3
17,6
18,4
19,4
20,6
21,6
22,4
23,4
24,4
25,4
26,3
27,3
28,4
29,4
30,4
31,3
32,6
33,6
34,4
35,4
36,6
37,6
38,6
39,6
40,6
41,6
42,4
43,6
44,3
45,4
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,3
78,3
79,3
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,5
90,5
91,5
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,9
115,9
116,7
117,7
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,3
154,3
155,3
156,3
157,5
158,5
159,5
160,5
161,5
162,8
163,8
164,8
165,8
166,1
167,9
168,3
169,3
170,3
171,8
172,3
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,7
225,0
226,0
227,0
228,0
229,3
230,3
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,9
239,9
240,9
241,9
242,9
243,9
244,7
245,7
246,7
247,7
248,7
249,7
250,8
251,8
252,8
253,3
254,4
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,8
263,3
264,3
265,8
266,8
267,3
268,3
269,9
270,9
271,9
272,9
273,9
274,9
275,3
276,3
277,3
278,3
279,3
280,8
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,9
290,9
291,9
