ID,FilePath,ClassID
0,train\1.wav,3
1,train\2.wav,2
2,train\3.wav,2
3,train\4.wav,2
4,train\5.wav,2
5,train\6.wav,2
6,train\7.wav,2
7,train\8.wav,2
8,train\9.wav,2
9,train\10.wav,3
10,train\11.wav,3
11,train\12.wav,3
12,train\13.wav,3
13,train\14.wav,0
14,train\15.wav,0
15,train\16.wav,0
16,train\17.wav,0
17,train\18.wav,0
18,train\19.wav,0
19,train\20.wav,0
20,train\21.wav,0
21,train\22.wav,0
22,train\23.wav,0
23,train\24.wav,0
24,train\25.wav,0
25,train\26.wav,0
26,train\27.wav,0
27,train\28.wav,0
28,train\29.wav,0
29,train\30.wav,0
30,train\31.wav,0
31,train\32.wav,0
32,train\33.wav,0
33,train\34.wav,0
34,train\35.wav,0
35,train\36.wav,0
36,train\37.wav,0
37,train\38.wav,0
38,train\39.wav,0
39,train\40.wav,0
40,train\41.wav,0
41,train\42.wav,0
42,train\43.wav,0
43,train\44.wav,0
44,train\45.wav,3
45,train\46.wav,3
46,train\47.wav,3
47,train\48.wav,3
48,train\49.wav,3
49,train\50.wav,3
50,train\51.wav,9
51,train\52.wav,9
52,train\53.wav,9
53,train\54.wav,9
54,train\55.wav,9
55,train\56.wav,9
56,train\57.wav,3
57,train\58.wav,3
58,train\59.wav,3
59,train\60.wav,3
60,train\61.wav,6
61,train\62.wav,3
62,train\63.wav,3
63,train\64.wav,3
64,train\65.wav,3
65,train\66.wav,3
66,train\67.wav,3
67,train\68.wav,3
68,train\69.wav,8
69,train\70.wav,8
70,train\71.wav,8
71,train\72.wav,8
72,train\73.wav,8
73,train\74.wav,8
74,train\75.wav,8
75,train\76.wav,8
76,train\77.wav,5
77,train\78.wav,5
78,train\79.wav,8
79,train\80.wav,8
80,train\81.wav,8
81,train\82.wav,8
82,train\83.wav,8
83,train\84.wav,8
84,train\85.wav,8
85,train\86.wav,8
86,train\87.wav,8
87,train\88.wav,8
88,train\89.wav,8
89,train\90.wav,8
90,train\91.wav,8
91,train\92.wav,8
92,train\93.wav,8
93,train\94.wav,8
94,train\95.wav,7
95,train\96.wav,7
96,train\97.wav,7
97,train\98.wav,7
98,train\99.wav,7
99,train\100.wav,7
100,train\101.wav,7
101,train\102.wav,7
102,train\103.wav,7
103,train\104.wav,7
104,train\105.wav,7
105,train\106.wav,7
106,train\107.wav,7
107,train\108.wav,7
108,train\109.wav,7
109,train\110.wav,7
110,train\111.wav,7
111,train\112.wav,7
112,train\113.wav,7
113,train\114.wav,7
114,train\115.wav,7
115,train\116.wav,7
116,train\117.wav,4
117,train\118.wav,4
118,train\119.wav,4
119,train\120.wav,4
120,train\121.wav,4
121,train\122.wav,4
122,train\123.wav,4
123,train\124.wav,4
124,train\125.wav,4
125,train\126.wav,4
126,train\127.wav,4
127,train\128.wav,4
128,train\129.wav,4
129,train\130.wav,4
130,train\131.wav,4
131,train\132.wav,4
132,train\133.wav,4
133,train\134.wav,4
134,train\135.wav,4
135,train\136.wav,4
136,train\137.wav,4
137,train\138.wav,5
138,train\139.wav,5
139,train\140.wav,5
140,train\141.wav,5
141,train\142.wav,5
142,train\143.wav,5
143,train\144.wav,5
144,train\145.wav,5
145,train\146.wav,5
146,train\147.wav,5
147,train\148.wav,5
148,train\149.wav,5
149,train\150.wav,5
150,train\151.wav,5
151,train\152.wav,5
152,train\153.wav,5
153,train\154.wav,5
154,train\155.wav,5
155,train\156.wav,5
156,train\157.wav,5
157,train\158.wav,4
158,train\159.wav,4
159,train\160.wav,2
160,train\161.wav,2
161,train\162.wav,2
162,train\163.wav,2
163,train\164.wav,2
164,train\165.wav,2
165,train\166.wav,2
166,train\167.wav,2
167,train\168.wav,2
168,train\169.wav,2
169,train\170.wav,2
170,train\171.wav,2
171,train\172.wav,2
172,train\173.wav,2
173,train\174.wav,2
174,train\175.wav,2
175,train\176.wav,4
176,train\177.wav,4
177,train\178.wav,4
178,train\179.wav,4
179,train\180.wav,4
180,train\181.wav,4
181,train\182.wav,4
182,train\183.wav,4
183,train\184.wav,4
184,train\185.wav,4
185,train\186.wav,4
186,train\187.wav,4
187,train\188.wav,4
188,train\189.wav,4
189,train\190.wav,4
190,train\191.wav,4
191,train\192.wav,4
192,train\193.wav,4
193,train\194.wav,4
194,train\195.wav,4
195,train\196.wav,4
196,train\197.wav,4
197,train\198.wav,4
198,train\199.wav,4
199,train\200.wav,4
200,train\201.wav,4
201,train\202.wav,4
202,train\203.wav,4
203,train\204.wav,4
204,train\205.wav,4
205,train\206.wav,7
206,train\207.wav,7
207,train\208.wav,7
208,train\209.wav,7
209,train\210.wav,7
210,train\211.wav,7
211,train\212.wav,7
212,train\213.wav,7
213,train\214.wav,7
214,train\215.wav,7
215,train\216.wav,7
216,train\217.wav,7
217,train\218.wav,7
218,train\219.wav,7
219,train\220.wav,7
220,train\221.wav,7
221,train\222.wav,7
222,train\223.wav,7
223,train\224.wav,7
224,train\225.wav,7
225,train\226.wav,7
226,train\227.wav,7
227,train\228.wav,7
228,train\229.wav,7
229,train\230.wav,7
230,train\231.wav,7
231,train\232.wav,7
232,train\233.wav,7
233,train\234.wav,7
234,train\235.wav,7
235,train\236.wav,7
236,train\237.wav,7
237,train\238.wav,7
238,train\239.wav,7
239,train\240.wav,7
240,train\241.wav,7
241,train\242.wav,7
242,train\243.wav,7
243,train\244.wav,7
244,train\245.wav,7
245,train\246.wav,7
246,train\247.wav,7
247,train\248.wav,7
248,train\249.wav,7
249,train\250.wav,7
250,train\251.wav,7
251,train\252.wav,7
252,train\253.wav,7
253,train\254.wav,7
254,train\255.wav,7
255,train\256.wav,7
256,train\257.wav,7
257,train\258.wav,7
258,train\259.wav,7
259,train\260.wav,7
260,train\261.wav,7
261,train\262.wav,7
262,train\263.wav,7
263,train\264.wav,7
264,train\265.wav,8
265,train\266.wav,8
266,train\267.wav,8
267,train\268.wav,8
268,train\269.wav,8
269,train\270.wav,8
270,train\271.wav,8
271,train\272.wav,8
272,train\273.wav,8
273,train\274.wav,8
274,train\275.wav,8
275,train\276.wav,8
276,train\277.wav,8
277,train\278.wav,8
278,train\279.wav,8
279,train\280.wav,8
280,train\281.wav,8
281,train\282.wav,8
282,train\283.wav,8
283,train\284.wav,3
284,train\285.wav,3
285,train\286.wav,3
286,train\287.wav,2
287,train\288.wav,2
288,train\289.wav,2
289,train\290.wav,2
290,train\291.wav,2
291,train\292.wav,2
